tree,leaf,treatment,exp.round,field.date,lab.date,field.obs,lab.mite.obs,dom,eggs,RS,LB,nymph,OB,LL,LC,CLB,SP,MISC,BY,PR,eriophyid.pres,fungal.obs,fungal.count,fungal.notes,midrib.tape,leaf.tear,mite.notes,field.notes,gall_mm2,prop_herb,leaf_area_mm2,longitude,latitude,elevation,B
6,2,control,1,16-May-22,17-May-22,AM,MW,9,0,0,0,0,0,0,0,0,0,0,0,0,1,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes. Small tear in leaf,0,1,NA,NA,10.72936077,0.020171438,1760.353516,-84.47339,42.71581,276,0
6,3,control,1,16-May-22,17-May-22,AM,MW,17,0,0,0,0,0,0,0,0,0,0,0,0,1,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,20.22575007,0,2061.813249,-84.47339,42.71581,276,0
7,1,treatment,1,16-May-22,17-May-22,CG,MW,9,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,1147.158093,-84.473264,42.717181,278,1
7,2,treatment,1,16-May-22,17-May-22,CG,MW,6,0,0,0,0,0,0,0,0,0,0,0,0,1,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,8.655889851,0,1239.5521,-84.473264,42.717181,278,0
7,3,treatment,1,16-May-22,17-May-22,CG,MW,3,0,0,0,0,0,0,0,0,0,0,0,0,1,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes. Small leaf taped over midrib.,1,0,NA,NA,0,0,931.880915,-84.473264,42.717181,278,0
8,1,control,1,16-May-22,17-May-22,MO,MW,8,0,0,0,0,0,0,0,0,0,0,0,0,1,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,1.313616,0,2104.469044,-84.477201,42.715902,274,0
8,2,control,1,16-May-22,17-May-22,MO,MW,7,0,0,0,0,0,0,0,0,0,0,0,0,1,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,4.166655053,0,1925.698933,-84.477201,42.715902,274,0
8,3,control,1,16-May-22,17-May-22,MO,MW,6,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,2756.201995,-84.477201,42.715902,274,0
9,1,treatment,1,16-May-22,17-May-22,MO,MW,9,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,2191.063785,-84.476826,42.716965,279,0
9,2,treatment,1,16-May-22,17-May-22,MO,MW,11,0,0,0,0,0,0,0,0,0,0,0,0,1,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,8.801050737,0,1922.419373,-84.476826,42.716965,279,0
9,3,treatment,1,16-May-22,17-May-22,MO,MW,14,0,0,0,0,0,0,0,0,0,0,0,0,1,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,5.07883889,0,1852.010967,-84.476826,42.716965,279,0
10,1,control,1,16-May-22,17-May-22,AM,MW,10,0,0,0,0,0,0,0,0,0,0,0,0,1,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,27.95511921,0,1944.892428,-84.47383,42.71518,277,0
10,2,control,1,16-May-22,17-May-22,AM,MW,15,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,2290.077846,-84.47383,42.71518,277,0
10,3,control,1,16-May-22,17-May-22,AM,MW,11,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,1105.181507,-84.47383,42.71518,277,0
11,1,treatment,1,16-May-22,17-May-22,AM,MW,12,0,0,0,0,0,0,0,0,0,0,0,0,1,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,3.195331595,0,2312.38782,-84.47337,42.71592,276,0
11,2,treatment,1,16-May-22,17-May-22,AM,MW,11,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0.007993048,2918.298317,-84.47337,42.71592,276,0
11,3,treatment,1,16-May-22,17-May-22,AM,MW,10,0,0,0,0,0,0,0,0,0,0,0,0,1,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,9.876317,0,2389.190473,-84.47337,42.71592,276,0
12,1,control,1,16-May-22,17-May-22,MO,MW,20,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,2174.553078,-84.47575,42.71659,278,0
12,2,control,1,16-May-22,17-May-22,MO,MW,20,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,2068.526492,-84.47575,42.71659,278,0
12,3,control,1,16-May-22,17-May-22,MO,MW,21,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,2382.955723,-84.47575,42.71659,278,0
13,1,treatment,1,16-May-22,17-May-22,MO,MW,18,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,2565.589623,-84.477522,42.716365,275,0
13,2,treatment,1,16-May-22,17-May-22,MO,MW,22,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,2131.601585,-84.477522,42.716365,275,0
13,3,treatment,1,16-May-22,17-May-22,MO,MW,17,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,2205.346899,-84.477522,42.716365,275,0
14,1,control,1,16-May-22,17-May-22,MO,MW,19,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,2006.718421,-84.476895,42.717623,277,0
14,2,control,1,16-May-22,17-May-22,MO,MW,19,0,0,0,0,0,0,0,0,0,0,0,0,1,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,3.792104125,0,2088.241491,-84.476895,42.717623,277,0
14,3,control,1,16-May-22,17-May-22,MO,MW,15,0,0,0,0,0,0,0,0,0,0,0,0,1,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,1.218634596,0.051051756,1993.929926,-84.476895,42.717623,277,0
15,1,treatment,1,16-May-22,17-May-22,AM,MW,20,0,0,0,0,0,0,0,0,0,0,0,0,1,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,80.80443426,0,1817.308554,-84.47603,42.71563,279,0
15,2,treatment,1,16-May-22,17-May-22,AM,MW,14,0,0,0,0,0,0,0,0,0,0,0,0,1,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes. Leaf tear.,0,1,NA,NA,13.45336752,0.055815973,1630.577892,-84.47603,42.71563,279,0
15,3,treatment,1,16-May-22,17-May-22,AM,MW,16,0,0,0,0,0,0,0,0,0,0,0,0,1,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,1.001789322,0,2184.535129,-84.47603,42.71563,279,0
16,1,control,1,16-May-22,17-May-22,MO,MW,9,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes. Leaf tear,0,1,NA,NA,0,0,1657.154879,-84.47642,42.71538,277,0
16,2,control,1,16-May-22,17-May-22,MO,MW,8,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes. Leaf tear,0,1,NA,NA,10.72398444,0.008518586,2050.539087,-84.47642,42.71538,277,0
16,3,control,1,16-May-22,17-May-22,MO,MW,6,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes. Small leaf taped over midrib.,1,0,NA,NA,0,0,1950.664814,-84.47642,42.71538,277,0
17,1,treatment,1,16-May-22,17-May-22,AM,MW,4,0,0,0,0,0,0,0,0,0,0,0,0,1,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,10.52506027,0.027057039,1405.695006,-84.47304,42.71497,276,0
17,2,treatment,1,16-May-22,17-May-22,AM,MW,5,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0.015340677,2351.835738,-84.47304,42.71497,276,0
17,3,treatment,1,16-May-22,17-May-22,AM,MW,5,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,10.80642149,0,2176.99214,-84.47304,42.71497,276,0
18,1,control,1,16-May-22,17-May-22,CG,MW,17,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,3363.80066,-84.475779,42.718937,273,0
18,2,control,1,16-May-22,17-May-22,CG,MW,17,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,2931.683584,-84.475779,42.718937,273,0
18,3,control,1,16-May-22,17-May-22,CG,MW,19,0,0,0,0,0,0,0,0,0,0,0,0,1,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,6.342276228,0,2937.932671,-84.475779,42.718937,273,0
19,1,treatment,1,16-May-22,17-May-22,AM,MW,11,0,2,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes. Tape made small tear in leaf.,0,1,NA,NA,0,0.123391753,1181.462657,-84.47436,42.71487,273,0
19,2,treatment,1,16-May-22,17-May-22,AM,MW,14,0,0,3,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,2045.058816,-84.47436,42.71487,273,0
19,3,treatment,1,16-May-22,17-May-22,AM,MW,19,0,1,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes. Tape made small tear in leaf.,0,1,NA,NA,2.894257166,0.139088752,1715.629626,-84.47436,42.71487,273,0
20,1,control,1,16-May-22,17-May-22,CG,MW,14,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,2136.732395,-84.47596,42.718591,274,0
20,2,control,1,16-May-22,17-May-22,CG,MW,14,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,3111.292403,-84.47596,42.718591,274,0
20,3,control,1,16-May-22,17-May-22,CG,MW,7,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,1548.090667,-84.47596,42.718591,274,0
21,1,treatment,1,16-May-22,17-May-22,MO,MW,24,2,1,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes. Tear in leaf.,0,1,NA,NA,0,0,2160.191111,-84.477578,42.716551,275,0
21,2,treatment,1,16-May-22,17-May-22,MO,MW,24,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes. Tear in leaf.,0,1,NA,NA,0,0.052084398,1805.308588,-84.477578,42.716551,275,0
21,3,treatment,1,16-May-22,17-May-22,MO,MW,28,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,2699.34373,-84.477578,42.716551,275,0
22,1,control,1,16-May-22,17-May-22,MO,MW,10,0,0,1,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,7.353026099,0,2078.245103,-84.47737,42.71657,0,0
22,2,control,1,16-May-22,17-May-22,MO,MW,8,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,1511.585392,-84.47737,42.71657,0,0
22,3,control,1,16-May-22,17-May-22,MO,MW,14,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,2019.530213,-84.47737,42.71657,0,0
23,1,treatment,1,16-May-22,17-May-22,MO,MW,17,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,1856.790523,-84.477619,42.717992,272,0
23,2,treatment,1,16-May-22,17-May-22,MO,MW,20,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,1569.631826,-84.477619,42.717992,272,0
23,3,treatment,1,16-May-22,17-May-22,MO,MW,15,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,1620.083298,-84.477619,42.717992,272,0
24,1,control,1,16-May-22,17-May-22,CG,MW,12,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,2981.303518,-84.473904,42.717238,280,0
24,2,control,1,16-May-22,17-May-22,CG,MW,3,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,4130.502824,-84.473904,42.717238,280,0
24,3,control,1,16-May-22,17-May-22,CG,MW,3,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,2297.731947,-84.473904,42.717238,280,0
25,1,treatment,1,16-May-22,17-May-22,AM,MW,12,0,0,0,0,0,0,0,0,0,0,0,0,1,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,4.451600495,0,3610.712158,-84.47289,42.71547,277,0
25,2,treatment,1,16-May-22,17-May-22,AM,MW,10,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,2275.56355,-84.47289,42.71547,277,0
25,3,treatment,1,16-May-22,17-May-22,AM,MW,15,1,0,0,0,0,0,0,0,0,0,0,0,1,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,56.20952074,0,1728.312387,-84.47289,42.71547,277,0
26,1,control,1,16-May-22,17-May-22,CG,CG,30,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,2759.995891,-84.475276,42.717366,278,0
26,2,control,1,16-May-22,17-May-22,CG,CG,25,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,3177.858526,-84.475276,42.717366,278,0
26,3,control,1,16-May-22,17-May-22,CG,CG,25,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,11.03401942,0,2413.382162,-84.475276,42.717366,278,0
27,1,treatment,1,16-May-22,17-May-22,AM,MW,21,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,2249.355737,-84.47241,42.71446,272,0
27,2,treatment,1,16-May-22,17-May-22,AM,MW,15,0,3,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.  Small leaf. Taped across midrib.,1,0,NA,NA,0,0.005804748,1223.503758,-84.47241,42.71446,272,0
27,3,treatment,1,16-May-22,17-May-22,AM,MW,23,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,2599.22573,-84.47241,42.71446,272,0
28,1,control,1,16-May-22,17-May-22,MO,MW,12,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,1956.347593,-84.477648,42.71592,273,0
28,2,control,1,16-May-22,17-May-22,MO,MW,18,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,2603.471238,-84.477648,42.71592,273,0
28,3,control,1,16-May-22,17-May-22,MO,MW,12,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes. Small leaf taped over midrib.,1,0,NA,NA,0,0,1519.468883,-84.477648,42.71592,273,0
29,1,treatment,1,16-May-22,17-May-22,CG,MW,5,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,2224.647921,-84.473579,42.717154,279,0
29,2,treatment,1,16-May-22,17-May-22,CG,MW,3,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,1943.715012,-84.473579,42.717154,279,0
29,3,treatment,1,16-May-22,17-May-22,CG,MW,1,0,0,0,0,0,0,0,0,0,0,0,0,1,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes. Small leaf taped over midrib.,1,0,NA,NA,0.00179211,0,1343.472958,-84.473579,42.717154,279,0
30,1,control,1,16-May-22,17-May-22,CG,MW,13,0,0,0,0,0,0,0,0,0,0,0,0,1,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,37.56261931,0,2779.94924,-84.47232,42.71682,276,0
30,2,control,1,16-May-22,17-May-22,CG,MW,22,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,3456.597892,-84.47232,42.71682,276,0
30,3,control,1,16-May-22,17-May-22,CG,MW,16,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,1,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,16.41751696,0,2077.065895,-84.47232,42.71682,276,0
32,1,control,1,16-May-22,17-May-22,MO,MW,19,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0.017119569,1715.00418,-84.47673,42.71551,275,0
32,2,control,1,16-May-22,17-May-22,MO,MW,21,0,1,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,2.44802185,0,1867.306623,-84.47673,42.71551,275,0
32,3,control,1,16-May-22,17-May-22,MO,MW,18,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes. Small leaf taped over midrib.,1,0,NA,NA,0,0,1261.025159,-84.47673,42.71551,275,0
33,1,treatment,1,16-May-22,17-May-22,AM,MW,6,1,0,0,2,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,2264.776841,-84.4733,42.71512,277,0
33,2,treatment,1,16-May-22,17-May-22,AM,MW,9,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0.026542925,2019.851001,-84.4733,42.71512,277,0
33,3,treatment,1,16-May-22,17-May-22,AM,MW,10,1,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,2647.736347,-84.4733,42.71512,277,0
34,1,control,1,16-May-22,17-May-22,MO,MW,6,0,0,0,0,0,0,0,0,0,0,0,0,1,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,9.611084321,0,2010.8797,-84.476802,42.716938,0,0
34,2,control,1,16-May-22,17-May-22,MO,MW,6,0,0,0,0,0,0,0,0,0,0,0,0,1,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,6.206075891,0,2292.8592,-84.476802,42.716938,0,0
34,3,control,1,16-May-22,17-May-22,MO,MW,2,0,0,0,0,0,0,0,0,0,0,0,0,1,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,2.856622862,0,1737.979027,-84.476802,42.716938,0,0
35,1,treatment,1,16-May-22,17-May-22,AM,MW,9,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,2298.412948,-84.4753,42.7161,279,0
35,2,treatment,1,16-May-22,17-May-22,AM,MW,1,0,0,0,0,0,0,0,0,0,0,0,0,1,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,1.379924469,0,2365.633191,-84.4753,42.7161,279,0
35,3,treatment,1,16-May-22,17-May-22,AM,MW,4,0,0,0,0,0,0,0,0,0,0,0,0,1,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,2203.977728,-84.4753,42.7161,279,0
36,1,control,1,16-May-22,17-May-22,AM,MW,5,0,1,0,1,2,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,2732.400986,-84.47441,42.71567,277,0
36,2,control,1,16-May-22,17-May-22,AM,MW,13,0,0,0,0,0,0,0,0,0,0,0,0,1,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,6.019696482,0,2270.291163,-84.47441,42.71567,277,0
